,geodesic,resistance,protected
count,791.0,791.0,791.0
mean,0.012117416731252427,0.013039495558180873,0.011597920890966992
std,0.007015780106288419,0.0077437480736549475,0.006151788333664129
min,0.0,0.0,0.0
10%,0.003504385252717836,0.0033389567561978774,0.0037443925286116315
20%,0.005755075948856658,0.006044757656252808,0.0058331891067728535
30%,0.007883676250146908,0.008075346842680358,0.00807874160457016
40%,0.00959176715596005,0.009948710680529858,0.010028975417211542
50%,0.01137059760346155,0.012109000982151154,0.011719858399704488
60%,0.013404944498763128,0.01451582606094361,0.013019088075073435
70%,0.015794662555273502,0.017480061665232843,0.01468714424036089
80%,0.018530116449887873,0.01987691003940929,0.016555104171438552
90%,0.021759760267641225,0.023717835161667627,0.019151972803519626
max,0.033982511994610935,0.0343372237379661,0.03403346978540815
