,geodesic,resistance,protected
count,791.0,791.0,791.0
mean,0.011744539113779885,0.012649805358749103,0.011597920890966992
std,0.006248218350125762,0.006914630839835864,0.006151788333664129
min,0.0,0.0,0.0
10%,0.0037870279770826575,0.0038583478808324754,0.0037443925286116315
20%,0.006071278951718453,0.006403005558175422,0.0058331891067728535
30%,0.008302054772083204,0.008456114021702963,0.00807874160457016
40%,0.010090327775131802,0.01031992940252389,0.010028975417211542
50%,0.011605626393657994,0.012519549656641767,0.011719858399704488
60%,0.013138490600724542,0.014336920066156224,0.013019088075073435
70%,0.014997877690427836,0.016447191030591602,0.01468714424036089
80%,0.016931582638143986,0.018659602012893673,0.016555104171438552
90%,0.019450417134815445,0.0218240067953758,0.019151972803519626
max,0.033982511994610935,0.03363906686168962,0.03403346978540815
