,geodesic,resistance,protected
count,791.0,791.0,791.0
mean,0.011666403075969757,0.012685169863886804,0.011597920890966992
std,0.006152981992371158,0.007240615639313193,0.006151788333664129
min,0.0,0.0,0.0
10%,0.0037511071779771643,0.0035618588437921293,0.0037443925286116315
20%,0.005816430609750423,0.006100790874088281,0.0058331891067728535
30%,0.008127260357631576,0.008402597148766174,0.00807874160457016
40%,0.009993153357855932,0.01006410834322019,0.010028975417211542
50%,0.011577800505849339,0.012111192842090465,0.011719858399704488
60%,0.012995302376895185,0.013951910448410758,0.013019088075073435
70%,0.014897900142876853,0.016668029912038813,0.01468714424036089
80%,0.01743217825283345,0.01907993508923889,0.016555104171438552
90%,0.02010455565917465,0.02317540518973024,0.019151972803519626
max,0.0304882558895997,0.033982511994610935,0.03403346978540815
