source,target
0,8
0,10
8,5
10,13
1,91
1,126
91,90
91,92
91,94
91,105
126,94
126,128
126,127
2,3
2,5
3,49
5,6
49,48
6,7
7,9
9,18
9,19
18,15
19,15
19,119
13,12
11,16
11,17
11,12
11,31
16,17
12,30
31,34
30,14
14,35
35,68
15,71
71,60
71,72
71,95
119,120
119,122
20,26
20,52
20,21
26,81
52,132
52,133
52,70
52,53
52,55
21,25
25,23
25,24
25,29
25,84
22,23
22,37
22,29
23,54
37,36
37,74
37,118
54,70
54,118
24,27
24,76
27,81
76,97
76,99
76,77
84,78
84,85
81,57
81,80
81,82
34,60
32,129
32,130
32,131
32,117
129,113
129,130
129,144
130,134
131,132
117,33
117,112
33,38
38,39
60,61
60,69
68,69
36,39
74,55
118,70
40,41
40,142
40,47
41,46
142,141
47,46
47,107
46,128
46,123
46,124
108,43
108,141
43,139
139,137
45,48
45,124
128,127
123,122
107,86
58,51
58,53
58,59
51,136
136,133
136,135
56,57
56,59
56,79
79,69
61,62
62,64
62,63
64,65
63,80
65,98
98,67
98,97
98,100
98,104
67,87
87,88
87,95
72,73
95,88
95,96
95,120
73,120
73,96
120,93
120,125
75,97
75,82
99,100
99,102
77,78
77,102
78,85
102,101
83,141
83,86
141,140
88,93
88,94
89,90
89,92
105,106
104,101
104,103
103,106
109,116
109,110
116,115
110,112
113,144
113,114
113,115
114,115
125,127
134,135
137,138
138,140
